card_id,type,front,back,chain_id,ep,source
S_古2_宋元_03_03,strategy_turning,"[CHAIN_宋元_03] 王安石变法：理想与现实的碰撞
变革的关键转折点是什么？",【请补充变革关键节点】,CHAIN_宋元_03,02,王安石变法
L_古2_宋元_03,chain,【链卡】CHAIN_宋元_03 王安石变法：理想与现实的碰撞,"类型：变革类

关键节点：
• 变法的历史背景：财政危机
• 青苗法：官府贷款打击高利贷
• 市易法：官府平价抑制商人垄断
• 募役法：以雇役取代差役
• 变法失败的根本原因

",CHAIN_宋元_03,02,王安石变法
H_古2_宋元_04_01,node,[CHAIN_宋元_04] 王安石与司马光的根本分歧,"王安石认为理财是富国强兵之道，司马光认为应该节流而非开源——两种治国理念的冲突

【★★★★★考点】",CHAIN_宋元_04,02,王安石变法
H_古2_宋元_04_02,node,[CHAIN_宋元_04] 新旧党争的制度化,"神宗后两派轮番执政，互相否定对方政策，国家政策缺乏连续性，内耗严重

【★★★★考点】",CHAIN_宋元_04,02,王安石变法
H_古2_宋元_04_03,node,[CHAIN_宋元_04] 蔡京与北宋末年的党争恶化,"蔡京借恢复新法之名打击元祐旧臣，党争彻底沦为政治报复工具

【★★★考点】",CHAIN_宋元_04,02,王安石变法
H_古2_宋元_04_04,node,[CHAIN_宋元_04] 靖康之变与党争的关联,"北宋灭亡前朝廷仍陷于新旧党争，消耗了大量政治资源，错失改革图强的时机

【★★★★考点】",CHAIN_宋元_04,02,王安石变法
H_古2_宋元_04_05,node,[CHAIN_宋元_04] 党争的历史教训,"政策辩论变成路线斗争，斗争高于建设——这是中国传统政治的顽疾

【★★★考点】",CHAIN_宋元_04,02,王安石变法
S_古2_宋元_04_02,strategy_impact,"[CHAIN_宋元_04] 新旧党争：理想主义者的政治悲剧
产生了什么后果？",【请补充影响分析】,CHAIN_宋元_04,02,王安石变法
L_古2_宋元_04,chain,【链卡】CHAIN_宋元_04 新旧党争：理想主义者的政治悲剧,"类型：影响类

关键节点：
• 王安石与司马光的根本分歧
• 新旧党争的制度化
• 蔡京与北宋末年的党争恶化
• 靖康之变与党争的关联
• 党争的历史教训

",CHAIN_宋元_04,02,王安石变法
H_古2_宋元_05_01,node,[CHAIN_宋元_05] 宋金海上之盟：联金灭辽,"1120年宋金结盟共同灭辽，宋军北上攻辽大败——暴露了宋军虚弱本质，被金国看穿

【★★★★考点】",CHAIN_宋元_05,03,靖康之变
H_古2_宋元_05_02,node,[CHAIN_宋元_05] 辽亡后金国看清宋朝的虚弱,"灭辽过程中宋军毫无战斗力，金国由此判定宋朝可欺，埋下侵宋祸根

【★★★★考点】",CHAIN_宋元_05,03,靖康之变
H_古2_宋元_05_03,node,[CHAIN_宋元_05] 靖康之变：1127年的奇耻大辱,"金兵南下攻破开封，掳走徽钦二帝及大量皇室宗亲、官员、工匠，北宋灭亡

【★★★★★考点】",CHAIN_宋元_05,03,靖康之变
H_古2_宋元_05_04,node,[CHAIN_宋元_05] 南宋建立与岳飞抗金,"赵构在南京即位建立南宋；岳飞率岳家军北伐，郾城大捷，却遭十二道金牌召回

【★★★★★考点】",CHAIN_宋元_05,03,靖康之变
H_古2_宋元_05_05,node,[CHAIN_宋元_05] 绍兴和议：胜利者的屈辱合约,"1141年绍兴和议：宋向金称臣纳贡，杀岳飞换和平——以忠臣之血换苟安之局

【★★★★考点】",CHAIN_宋元_05,03,靖康之变
S_古2_宋元_05_01,strategy_cause,"[CHAIN_宋元_05] 靖康之变：联金灭辽的战略失误
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_05,03,靖康之变
L_古2_宋元_05,chain,【链卡】CHAIN_宋元_05 靖康之变：联金灭辽的战略失误,"类型：原因类

关键节点：
• 宋金海上之盟：联金灭辽
• 辽亡后金国看清宋朝的虚弱
• 靖康之变：1127年的奇耻大辱
• 南宋建立与岳飞抗金
• 绍兴和议：胜利者的屈辱合约

",CHAIN_宋元_05,03,靖康之变
H_古2_宋元_06_01,node,[CHAIN_宋元_06] 靖康之变的深远影响,"中原士民大量南渡，经济重心南移完成；南北文化出现显著分化

【★★★考点】",CHAIN_宋元_06,03,靖康之变
H_古2_宋元_06_02,node,[CHAIN_宋元_06] 岳飞的历史形象与政治利用,"岳飞以忠君报国形象成为民族英雄；不同时代对岳飞的纪念带有不同的政治意涵

【★★★★考点】",CHAIN_宋元_06,03,靖康之变
H_古2_宋元_06_03,node,[CHAIN_宋元_06] 绍兴和议的历史评价,"秦桧以莫须有之罪杀岳飞，宋高宗为求和不惜杀忠臣——这是南宋政治的耻辱

【★★★★★考点】",CHAIN_宋元_06,03,靖康之变
H_古2_宋元_06_04,node,[CHAIN_宋元_06] 南宋的生存策略：内敛与务实,"南宋以经济繁荣和文化繁盛弥补军事弱势；偏安而不思进取成为时代特征

【★★★考点】",CHAIN_宋元_06,03,靖康之变
H_古2_宋元_06_05,node,[CHAIN_宋元_06] 宋金对峙的历史教训,"联金灭辽是典型的战略短视——消灭制衡力量后自己成为待宰羔羊

【★★★★考点】",CHAIN_宋元_06,03,靖康之变
S_古2_宋元_06_02,strategy_impact,"[CHAIN_宋元_06] 从靖康耻到绍兴和议：南宋的政治困境
产生了什么后果？",【请补充影响分析】,CHAIN_宋元_06,03,靖康之变
L_古2_宋元_06,chain,【链卡】CHAIN_宋元_06 从靖康耻到绍兴和议：南宋的政治困境,"类型：影响类

关键节点：
• 靖康之变的深远影响
• 岳飞的历史形象与政治利用
• 绍兴和议的历史评价
• 南宋的生存策略：内敛与务实
• 宋金对峙的历史教训

",CHAIN_宋元_06,03,靖康之变
H_古2_宋元_07_01,node,[CHAIN_宋元_07] 铁木真的统一草原之路,"铁木真统一蒙古各部，1206年称成吉思汗，建立蒙古帝国——草原游牧力量的整合

【★★★★★考点】",CHAIN_宋元_07,04,蒙古帝国
H_古2_宋元_07_02,node,[CHAIN_宋元_07] 蒙古西征：横扫欧亚大陆,"1234年灭金，1237年西征欧洲，1258年灭阿拉伯阿拔斯王朝——蒙古铁骑横扫三大洲

【★★★★考点】",CHAIN_宋元_07,04,蒙古帝国
H_古2_宋元_07_03,node,[CHAIN_宋元_07] 蒙古征服的军事特点,"骑兵机动性＋心理战＋以战养战＋分化瓦解——蒙古军创造了冷兵器时代最高效的战争机器

【★★★考点】",CHAIN_宋元_07,04,蒙古帝国
H_古2_宋元_07_04,node,[CHAIN_宋元_07] 蒙古帝国对世界历史的影响,"蒙古帝国打通了欧亚大陆的陆路交通，促进了东西方贸易、技术和疾病的传播（黑死病）

【★★★★考点】",CHAIN_宋元_07,04,蒙古帝国
H_古2_宋元_07_05,node,[CHAIN_宋元_07] 元朝的建立：蒙古统治汉族,"1271年忽必烈建立元朝，1279年灭南宋；元朝是中国历史上第一个由少数民族建立的全国性政权

【★★★★★考点】",CHAIN_宋元_07,04,蒙古帝国
S_古2_宋元_07_01,strategy_cause,"[CHAIN_宋元_07] 成吉思汗与蒙古帝国的崛起
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_07,04,蒙古帝国
L_古2_宋元_07,chain,【链卡】CHAIN_宋元_07 成吉思汗与蒙古帝国的崛起,"类型：原因类

关键节点：
• 铁木真的统一草原之路
• 蒙古西征：横扫欧亚大陆
• 蒙古征服的军事特点
• 蒙古帝国对世界历史的影响
• 元朝的建立：蒙古统治汉族

",CHAIN_宋元_07,04,蒙古帝国
H_古2_宋元_08_01,node,[CHAIN_宋元_08] 行省制度：中国地方行政的里程碑,"行省制度打破山川形便，改以军事控制为原则；省一级行政区划延续至今

【★★★★★考点】",CHAIN_宋元_08,04,蒙古帝国
H_古2_宋元_08_02,node,[CHAIN_宋元_08] 四等人制：民族歧视政策,"蒙古人→色目人→汉人→南人四级歧视性等级制度，种族压迫激化社会矛盾

【★★★★★考点】",CHAIN_宋元_08,04,蒙古帝国
H_古2_宋元_08_03,node,[CHAIN_宋元_08] 元朝的科举与文化政策,"元朝长期废除科举，汉族士人政治出路被堵死；戏曲艺术在民间繁荣（关汉卿等）

【★★★考点】",CHAIN_宋元_08,04,蒙古帝国
H_古2_宋元_08_04,node,[CHAIN_宋元_08] 元朝的民族融合与矛盾,"蒙古人内迁与汉族通婚有限，民族融合程度低于北魏汉化；社会矛盾贯穿始终

【★★★★考点】",CHAIN_宋元_08,04,蒙古帝国
H_古2_宋元_08_05,node,[CHAIN_宋元_08] 元朝短命的历史原因,"四等人制激化矛盾＋排斥汉族精英＋赋税沉重＋黄河灾害→红巾军起义→元朝速亡

【★★★★考点】",CHAIN_宋元_08,04,蒙古帝国
S_古2_宋元_08_01,strategy_cause,"[CHAIN_宋元_08] 元朝的制度设计：行省制与四等人制
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_08,04,蒙古帝国
L_古2_宋元_08,chain,【链卡】CHAIN_宋元_08 元朝的制度设计：行省制与四等人制,"类型：制度类

关键节点：
• 行省制度：中国地方行政的里程碑
• 四等人制：民族歧视政策
• 元朝的科举与文化政策
• 元朝的民族融合与矛盾
• 元朝短命的历史原因

",CHAIN_宋元_08,04,蒙古帝国
H_古2_宋元_09_01,node,[CHAIN_宋元_09] 朱元璋废丞相：皇权绝对化,"1380年朱元璋以胡惟庸案废丞相，皇权彻底压过相权；从此皇权失去制衡，独断专行

【★★★★★考点】",CHAIN_宋元_09,05,明初制度
H_古2_宋元_09_02,node,[CHAIN_宋元_09] 锦衣卫：皇帝私设的特务机构,"1382年设锦衣卫，绕开司法系统直接侦缉抓人；为明代厂卫政治拉开序幕

【★★★★考点】",CHAIN_宋元_09,05,明初制度
H_古2_宋元_09_03,node,[CHAIN_宋元_09] 靖难之役：藩王制度的内战,"1399-1402年朱棣以靖难为名起兵，攻破南京夺取皇位；说明分封藩王仍是隐患

【★★★★考点】",CHAIN_宋元_09,05,明初制度
H_古2_宋元_09_04,node,[CHAIN_宋元_09] 朱棣迁都北京：天子守国门,"1421年朱棣迁都北京，五征漠北、修《永乐大典》、派郑和下西洋——明代强权的顶峰

【★★★考点】",CHAIN_宋元_09,05,明初制度
H_古2_宋元_09_05,node,[CHAIN_宋元_09] 八股取士：制度化的思想控制,"科举考试严格限制在四书五经范围内，文体僵化；八股文成为束缚读书人思想的工具

【★★★★★考点】",CHAIN_宋元_09,05,明初制度
S_古2_宋元_09_01,strategy_cause,"[CHAIN_宋元_09] 朱元璋的集权设计：从废相到特务政治
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_09,05,明初制度
L_古2_宋元_09,chain,【链卡】CHAIN_宋元_09 朱元璋的集权设计：从废相到特务政治,"类型：制度类

关键节点：
• 朱元璋废丞相：皇权绝对化
• 锦衣卫：皇帝私设的特务机构
• 靖难之役：藩王制度的内战
• 朱棣迁都北京：天子守国门
• 八股取士：制度化的思想控制

",CHAIN_宋元_09,05,明初制度
H_古2_宋元_10_01,node,[CHAIN_宋元_10] 郑和七下西洋的壮举,"1405-1433年郑和七下西洋，船队最多达200多艘，随行近三万人——人类航海史的壮举

【★★★★考点】",CHAIN_宋元_10,05,明初制度
H_古2_宋元_10_02,node,[CHAIN_宋元_10] 朝贡体系的逻辑,"下西洋不是殖民扩张，而是展示天朝威仪、招徕朝贡——政治目的大于经济目的

【★★★考点】",CHAIN_宋元_10,05,明初制度
H_古2_宋元_10_03,node,[CHAIN_宋元_10] 郑和下西洋戛然而止的原因,"耗资巨大＋文官反对＋朱棣死后政治转向＋无现实经济回报——1433年后彻底停止

【★★★★考点】",CHAIN_宋元_10,05,明初制度
H_古2_宋元_10_04,node,[CHAIN_宋元_10] 欧洲大航海的历史对比,"葡萄牙西班牙大航海带来了殖民扩张和资本积累；中国郑和下西洋没有转化为国家发展动力

【★★★★★考点】",CHAIN_宋元_10,05,明初制度
H_古2_宋元_10_05,node,[CHAIN_宋元_10] 海权错失的历史代价,"明代主动放弃海洋探索，而欧洲在同一时期开启了全球化进程——这是中国近代落后的关键节点

【★★★★考点】",CHAIN_宋元_10,05,明初制度
S_古2_宋元_10_02,strategy_impact,"[CHAIN_宋元_10] 郑和下西洋：朝贡体系与海权错失
产生了什么后果？",【请补充影响分析】,CHAIN_宋元_10,05,明初制度
L_古2_宋元_10,chain,【链卡】CHAIN_宋元_10 郑和下西洋：朝贡体系与海权错失,"类型：影响类

关键节点：
• 郑和七下西洋的壮举
• 朝贡体系的逻辑
• 郑和下西洋戛然而止的原因
• 欧洲大航海的历史对比
• 海权错失的历史代价

",CHAIN_宋元_10,05,明初制度
H_古2_宋元_11_01,node,[CHAIN_宋元_11] 鸦片贸易与白银外流,"英国向中国走私鸦片，白银大量外流，清朝财政危机加深；林则徐虎门销烟是导火索

【★★★★★考点】",CHAIN_宋元_11,06,晚清变局
H_古2_宋元_11_02,node,[CHAIN_宋元_11] 鸦片战争的败因分析,"武器代差＋指挥失误＋制度腐朽＋闭关锁国导致清朝在鸦片战争中惨败

【★★★★★考点】",CHAIN_宋元_11,06,晚清变局
H_古2_宋元_11_03,node,[CHAIN_宋元_11] 南京条约：近代第一批不平等条约,"1842年《南京条约》：割香港、开五口通商、协定关税——中国开始沦为半殖民地

【★★★★★考点】",CHAIN_宋元_11,06,晚清变局
H_古2_宋元_11_04,node,[CHAIN_宋元_11] 洋务运动：师夷长技以制夷,"1861-1895年洋务派引进西方技术（江南制造总局/轮船招商局），建立近代军事工业

【★★★★考点】",CHAIN_宋元_11,06,晚清变局
H_古2_宋元_11_05,node,[CHAIN_宋元_11] 洋务运动的局限性,"只学技术不学制度（中学为体西学为用）；甲午战争彻底证明洋务运动不足以救国

【★★★★★考点】",CHAIN_宋元_11,06,晚清变局
S_古2_宋元_11_01,strategy_cause,"[CHAIN_宋元_11] 鸦片战争：近代史的开端
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_11,06,晚清变局
L_古2_宋元_11,chain,【链卡】CHAIN_宋元_11 鸦片战争：近代史的开端,"类型：原因类

关键节点：
• 鸦片贸易与白银外流
• 鸦片战争的败因分析
• 南京条约：近代第一批不平等条约
• 洋务运动：师夷长技以制夷
• 洋务运动的局限性

",CHAIN_宋元_11,06,晚清变局
H_古2_宋元_12_01,node,[CHAIN_宋元_12] 甲午战争：洋务运动的破产,"1894年甲午战争，北洋水师全军覆没；《马关条约》割台湾、赔款两亿两——列强瓜分中国

【★★★★★考点】",CHAIN_宋元_12,06,晚清变局
H_古2_宋元_12_02,node,[CHAIN_宋元_12] 戊戌变法：制度变革的失败尝试,"1898年光绪帝推行百日维新，触动慈禧太后和守旧派利益，戊戌政变仅103天便告失败

【★★★★★考点】",CHAIN_宋元_12,06,晚清变局
H_古2_宋元_12_03,node,[CHAIN_宋元_12] 辛亥革命：王朝的终结,"1911年武昌起义，各省纷纷独立；1912年清帝退位，延续两千年的帝制终结

【★★★★★考点】",CHAIN_宋元_12,06,晚清变局
H_古2_宋元_12_04,node,[CHAIN_宋元_12] 辛亥革命的历史意义,"推翻帝制、建立共和——这是中国历史上最深刻的社会变革之一，但民主共和并未真正实现

【★★★★考点】",CHAIN_宋元_12,06,晚清变局
H_古2_宋元_12_05,node,[CHAIN_宋元_12] 近代化失败的系统分析,"从洋务运动到戊戌变法到辛亥革命，每次救国尝试都失败——根本原因是传统制度的结构性困境

【★★★★★考点】",CHAIN_宋元_12,06,晚清变局
S_古2_宋元_12_01,strategy_cause,"[CHAIN_宋元_12] 甲午战争到辛亥革命：晚清的崩溃路径
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_12,06,晚清变局
S_古2_宋元_12_02,strategy_impact,"[CHAIN_宋元_12] 甲午战争到辛亥革命：晚清的崩溃路径
产生了什么后果？",【请补充影响分析】,CHAIN_宋元_12,06,晚清变局
S_古2_宋元_12_03,strategy_turning,"[CHAIN_宋元_12] 甲午战争到辛亥革命：晚清的崩溃路径
变革的关键转折点是什么？",【请补充变革关键节点】,CHAIN_宋元_12,06,晚清变局
L_古2_宋元_12,chain,【链卡】CHAIN_宋元_12 甲午战争到辛亥革命：晚清的崩溃路径,"类型：变革类

关键节点：
• 甲午战争：洋务运动的破产
• 戊戌变法：制度变革的失败尝试
• 辛亥革命：王朝的终结
• 辛亥革命的历史意义
• 近代化失败的系统分析

",CHAIN_宋元_12,06,晚清变局
