card_id,type,front,back,chain_id,ep,source
H_古1_先秦_02_04,node,[CHAIN_先秦_02] 郡县制的历史遗产：两千年中央集权,"秦后历代：汉郡国并行、唐藩镇割据、明废丞相——集权与分权的博弈持续不断

【★★★考点】",CHAIN_先秦_02,01,封邦建国
H_古1_先秦_02_05,node,[CHAIN_先秦_02] 核心结论：家天下与制度治理,"分封制→家天下基因（血缘裙带）；郡县制→制度治理基因（中央集权）；两者在中国政治文化中并存

【★★★★★考点】",CHAIN_先秦_02,01,封邦建国
S_古1_先秦_02_01,strategy_cause,"[CHAIN_先秦_02] 分封制 vs 郡县制：两种统治逻辑的根本分歧
为什么这件事会发生？",【请补充原因分析】,CHAIN_先秦_02,01,封邦建国
S_古1_先秦_02_02,strategy_impact,"[CHAIN_先秦_02] 分封制 vs 郡县制：两种统治逻辑的根本分歧
这件事产生了什么后果？",【请补充影响分析】,CHAIN_先秦_02,01,封邦建国
S_古1_先秦_02_03,strategy_turning,"[CHAIN_先秦_02] 分封制 vs 郡县制：两种统治逻辑的根本分歧
变革的关键转折点是什么？",【请补充变革关键节点】,CHAIN_先秦_02,01,封邦建国
L_古1_先秦_02,chain,【链卡】CHAIN_先秦_02 分封制 vs 郡县制：两种统治逻辑的根本分歧,"类型：变革类

关键节点：
• 分封制：政治合法性来源于血缘
• 郡县制：政治合法性来源于制度
• 王绾 vs 李斯之辩：郡县 vs 分封
• 郡县制的历史遗产：两千年中央集权
• 核心结论：家天下与制度治理

",CHAIN_先秦_02,01,封邦建国
H_古1_先秦_03_01,node,[CHAIN_先秦_03] 礼崩乐坏：百家兴起的时代土壤,"东周政治秩序崩溃为百家提供了思想真空，乱世催生思想家对秩序的多元探索

【★★★★考点】",CHAIN_先秦_03,02,百家争鸣
H_古1_先秦_03_02,node,[CHAIN_先秦_03] 儒家：仁政与德治,"孔子核心主张仁（爱人），孟子补充义；政治上主张以德治国，轻刑罚薄赋敛

【★★★★★考点】",CHAIN_先秦_03,02,百家争鸣
H_古1_先秦_03_03,node,[CHAIN_先秦_03] 道家：无为而治与自然法则,"老子主无为，庄子重逍遥；政治上反对人为干预，主张顺其自然

【★★★★考点】",CHAIN_先秦_03,02,百家争鸣
H_古1_先秦_03_04,node,[CHAIN_先秦_03] 墨家：兼爱与非攻,"墨子主张爱无差等，反对攻伐战争；代表平民利益，与儒道皆异

【★★★考点】",CHAIN_先秦_03,02,百家争鸣
H_古1_先秦_03_05,node,[CHAIN_先秦_03] 法家：法治与权术,"商鞅韩非：以法治国，信赏必罚；政治合法性来自功用而非道德

【★★★★★考点】",CHAIN_先秦_03,02,百家争鸣
S_古1_先秦_03_01,strategy_cause,"[CHAIN_先秦_03] 轴心时代：百家争鸣的历史背景与思想分野
为什么这件事会发生？",【请补充原因分析】,CHAIN_先秦_03,02,百家争鸣
L_古1_先秦_03,chain,【链卡】CHAIN_先秦_03 轴心时代：百家争鸣的历史背景与思想分野,"类型：原因类

关键节点：
• 礼崩乐坏：百家兴起的时代土壤
• 儒家：仁政与德治
• 道家：无为而治与自然法则
• 墨家：兼爱与非攻
• 法家：法治与权术

",CHAIN_先秦_03,02,百家争鸣
H_古1_先秦_04_01,node,[CHAIN_先秦_04] 儒家政治观：道德内化,"儒家认为好的政治来自统治者道德示范（内圣→外王），强调礼义教化

【★★★★考点】",CHAIN_先秦_04,02,百家争鸣
H_古1_先秦_04_02,node,[CHAIN_先秦_04] 法家政治观：制度外控,"法家认为人性本恶，需以严刑峻法约束；君主应以法、术、势驾驭臣下

【★★★★★考点】",CHAIN_先秦_04,02,百家争鸣
H_古1_先秦_04_03,node,[CHAIN_先秦_04] 秦用法家速亡：法治的边界,"秦用法家统一六国，但严刑峻法导致二世而亡，证明纯法治的局限性

【★★★★考点】",CHAIN_先秦_04,02,百家争鸣
H_古1_先秦_04_04,node,[CHAIN_先秦_04] 汉初黄老之术：休养生息,"汉初用道家无为而治，与民休息；为文景之治奠定基础

【★★★考点】",CHAIN_先秦_04,02,百家争鸣
H_古1_先秦_04_05,node,[CHAIN_先秦_04] 独尊儒术后：儒法融合,"汉武帝独尊儒术，但实际政治是儒表法里——德治为旗帜，法治为工具

【★★★★★考点】",CHAIN_先秦_04,02,百家争鸣
S_古1_先秦_04_02,strategy_impact,"[CHAIN_先秦_04] 儒法之争：德治与法治的千年博弈
这件事产生了什么后果？",【请补充影响分析】,CHAIN_先秦_04,02,百家争鸣
L_古1_先秦_04,chain,【链卡】CHAIN_先秦_04 儒法之争：德治与法治的千年博弈,"类型：影响类

关键节点：
• 儒家政治观：道德内化
• 法家政治观：制度外控
• 秦用法家速亡：法治的边界
• 汉初黄老之术：休养生息
• 独尊儒术后：儒法融合

",CHAIN_先秦_04,02,百家争鸣
H_古1_秦_01_01,node,[CHAIN_秦_01] 商鞅变法：制度层面的质变,"前356年商鞅变法，废井田开阡陌，奖励军功，推行县制；秦由此制度领先东方六国

【★★★★★考点】",CHAIN_秦_01,03,天下一统
H_古1_秦_01_02,node,[CHAIN_秦_01] 地理优势：关中天府之国,"秦据关中，四塞之地，易守难攻；郑国渠都江堰使关中成为粮仓

【★★★考点】",CHAIN_秦_01,03,天下一统
H_古1_秦_01_03,node,[CHAIN_秦_01] 六国纵亲失败：合纵连横的博弈,"六国合纵攻秦屡屡失败，苏秦后各国各怀心思；秦以连横破解合纵

【★★★考点】",CHAIN_秦_01,03,天下一统
H_古1_秦_01_04,node,[CHAIN_秦_01] 秦王嬴政的个人能力,"嬴政具备政治决断力、用人之能和战略耐心，完成统一六国的历史使命

【★★★考点】",CHAIN_秦_01,03,天下一统
H_古1_秦_01_05,node,[CHAIN_秦_01] 前230灭韩至前221灭齐：十年统一战争,"秦以军事力量逐一消灭六国，前221年完成统一，建立第一个中央集权王朝

【★★★★考点】",CHAIN_秦_01,03,天下一统
S_古1_秦_01_01,strategy_cause,"[CHAIN_秦_01] 秦统一六国的历史条件
为什么这件事会发生？",【请补充原因分析】,CHAIN_秦_01,03,天下一统
L_古1_秦_01,chain,【链卡】CHAIN_秦_01 秦统一六国的历史条件,"类型：原因类

关键节点：
• 商鞅变法：制度层面的质变
• 地理优势：关中天府之国
• 六国纵亲失败：合纵连横的博弈
• 秦王嬴政的个人能力
• 前230灭韩至前221灭齐：十年统一战争

",CHAIN_秦_01,03,天下一统
H_古1_秦_02_01,node,[CHAIN_秦_02] 书同文：文化统一的根基,"统一文字（小篆→隶书），消除语言隔阂，使中央政令可通达全国

【★★★★★考点】",CHAIN_秦_02,03,天下一统
H_古1_秦_02_02,node,[CHAIN_秦_02] 废分封行郡县：地方制度的根本变革,"秦废除分封制，全面推行郡县制，郡守县令由中央任命，开启两千年地方行政制度基础

【★★★★★考点】",CHAIN_秦_02,03,天下一统
H_古1_秦_02_03,node,[CHAIN_秦_02] 统一货币与度量衡,"统一货币（圆形方孔钱）和度量衡，消除经济割裂，促进全国市场形成

【★★★★考点】",CHAIN_秦_02,03,天下一统
H_古1_秦_02_04,node,[CHAIN_秦_02] 车同轨与驰道建设,"统一车轨宽度，修驰道直道，建立以咸阳为中心的全国交通网络

【★★★考点】",CHAIN_秦_02,03,天下一统
H_古1_秦_02_05,node,[CHAIN_秦_02] 秦制的历史悖论：速亡与遗产,"秦以严刑峻法二世而亡，但郡县制、书同文、统一度量衡成为两千年中国的制度基石

【★★★★★考点】",CHAIN_秦_02,03,天下一统
S_古1_秦_02_01,strategy_cause,"[CHAIN_秦_02] 秦制：书同文·废分封·郡县制——统一的文化与制度基础
为什么这件事会发生？",【请补充原因分析】,CHAIN_秦_02,03,天下一统
L_古1_秦_02,chain,【链卡】CHAIN_秦_02 秦制：书同文·废分封·郡县制——统一的文化与制度基础,"类型：制度类

关键节点：
• 书同文：文化统一的根基
• 废分封行郡县：地方制度的根本变革
• 统一货币与度量衡
• 车同轨与驰道建设
• 秦制的历史悖论：速亡与遗产

",CHAIN_秦_02,03,天下一统
H_古1_汉_01_01,node,[CHAIN_汉_01] 推恩令：削藩的阳光法案,"前127年推恩令：诸侯王所有儿子皆可分封，诸侯国越分越小，诸侯实力自然瓦解

【★★★★★考点】",CHAIN_汉_01,04,汉武雄图
H_古1_汉_01_02,node,[CHAIN_汉_01] 中朝制度：削弱相权,"汉武帝重用尚书台，形成中朝决策机构，丞相为首的外朝变为执行机构

【★★★考点】",CHAIN_汉_01,04,汉武雄图
H_古1_汉_01_03,node,[CHAIN_汉_01] 盐铁专营：国家控制经济命脉,"盐铁收归官营，国家控制战略资源，既增收入又抑豪强

【★★★★★考点】",CHAIN_汉_01,04,汉武雄图
H_古1_汉_01_04,node,[CHAIN_汉_01] 算缗告缗：打击商人势力,"向商人征收财产税，鼓励告发隐匿者；重农抑商政策的制度化实施

【★★★考点】",CHAIN_汉_01,04,汉武雄图
H_古1_汉_01_05,node,[CHAIN_汉_01] 集权效果：中央权威空前强化,"汉武帝通过推恩令、盐铁专营等措施，将地方权力和民间财富收归中央

【★★★★考点】",CHAIN_汉_01,04,汉武雄图
S_古1_汉_01_01,strategy_cause,"[CHAIN_汉_01] 汉武帝集权的制度设计：从推恩令到盐铁专营
为什么这件事会发生？",【请补充原因分析】,CHAIN_汉_01,04,汉武雄图
L_古1_汉_01,chain,【链卡】CHAIN_汉_01 汉武帝集权的制度设计：从推恩令到盐铁专营,"类型：制度类

关键节点：
• 推恩令：削藩的阳光法案
• 中朝制度：削弱相权
• 盐铁专营：国家控制经济命脉
• 算缗告缗：打击商人势力
• 集权效果：中央权威空前强化

",CHAIN_汉_01,04,汉武雄图
H_古1_汉_02_01,node,[CHAIN_汉_02] 张骞出使西域：凿空之旅,"前138年张骞出使西域，历时13年，虽未达与大月氏结盟目的，但开辟了通往西域的道路

【★★★★★考点】",CHAIN_汉_02,04,汉武雄图
H_古1_汉_02_02,node,[CHAIN_汉_02] 丝绸之路的路线与商品,"长安出发，经河西走廊、西域、中亚；主要商品：丝绸、茶叶、瓷器西传，葡萄、石榴、良马东来

【★★★考点】",CHAIN_汉_02,04,汉武雄图
H_古1_汉_02_03,node,[CHAIN_汉_02] 丝绸之路的多重历史意义,"经济上促进东西方贸易；文化上佛教沿丝路传入中国；政治上汉在西域设立都护府

【★★★★考点】",CHAIN_汉_02,04,汉武雄图
H_古1_汉_02_04,node,[CHAIN_汉_02] 独尊儒术：思想专制的形成,"前134年汉武帝接受董仲舒建议，罢黜百家独尊儒术，儒学成为官方意识形态

【★★★★★考点】",CHAIN_汉_02,04,汉武雄图
H_古1_汉_02_05,node,[CHAIN_汉_02] 汉武极盛与晚年危机,"汉武帝穷兵黩武造成海内虚耗；晚年发布轮台诏，下罪己诏，转变国策

【★★★★考点】",CHAIN_汉_02,04,汉武雄图
S_古1_汉_02_02,strategy_impact,"[CHAIN_汉_02] 丝绸之路：汉帝国的世界图景
这件事产生了什么后果？",【请补充影响分析】,CHAIN_汉_02,04,汉武雄图
L_古1_汉_02,chain,【链卡】CHAIN_汉_02 丝绸之路：汉帝国的世界图景,"类型：影响类

关键节点：
• 张骞出使西域：凿空之旅
• 丝绸之路的路线与商品
• 丝绸之路的多重历史意义
• 独尊儒术：思想专制的形成
• 汉武极盛与晚年危机

",CHAIN_汉_02,04,汉武雄图
H_古1_魏晋_01_01,node,[CHAIN_魏晋_01] 八王之乱：晋室内乱引狼入室,"291-306年八王之乱严重削弱西晋国力，匈奴等族借参与内战之机壮大了力量

【★★★★考点】",CHAIN_魏晋_01,05,胡汉之间
H_古1_魏晋_01_02,node,[CHAIN_魏晋_01] 五胡乱华：五大少数民族内迁,"匈奴、鲜卑、羯、羌、氐内迁中原，建立前赵、后赵、前燕等政权

【★★★★★考点】",CHAIN_魏晋_01,05,胡汉之间
H_古1_魏晋_01_03,node,[CHAIN_魏晋_01] 永嘉之乱与西晋灭亡,"311年永嘉之乱，匈奴攻破洛阳；316年长安沦陷，西晋灭亡，晋室南渡

【★★★★考点】",CHAIN_魏晋_01,05,胡汉之间
H_古1_魏晋_01_04,node,[CHAIN_魏晋_01] 东晋偏安与南北对峙格局形成,"317年东晋建立，南北朝对峙格局逐步形成，民族矛盾成为主要矛盾

【★★★考点】",CHAIN_魏晋_01,05,胡汉之间
H_古1_魏晋_01_05,node,[CHAIN_魏晋_01] 民族融合的历史意义,"魏晋南北朝民族融合为隋唐统一和开放包容的文化格局奠定基础

【★★★考点】",CHAIN_魏晋_01,05,胡汉之间
S_古1_魏晋_01_01,strategy_cause,"[CHAIN_魏晋_01] 五胡乱华：民族冲突与中原政权的崩溃
为什么这件事会发生？",【请补充原因分析】,CHAIN_魏晋_01,05,胡汉之间
L_古1_魏晋_01,chain,【链卡】CHAIN_魏晋_01 五胡乱华：民族冲突与中原政权的崩溃,"类型：原因类

关键节点：
• 八王之乱：晋室内乱引狼入室
• 五胡乱华：五大少数民族内迁
• 永嘉之乱与西晋灭亡
• 东晋偏安与南北对峙格局形成
• 民族融合的历史意义

",CHAIN_魏晋_01,05,胡汉之间
H_古1_魏晋_02_01,node,[CHAIN_魏晋_02] 北魏统一北方：孝文帝改革的背景,"439年北魏统一北方，但鲜卑政权面临如何统治汉族人口和中原先进文化的难题

【★★★考点】",CHAIN_魏晋_02,05,胡汉之间
H_古1_魏晋_02_02,node,[CHAIN_魏晋_02] 孝文帝汉化改革：494年迁都洛阳,"强制鲜卑贵族改汉姓、说汉语、与汉族通婚；全面移植汉魏典章制度

【★★★★★考点】",CHAIN_魏晋_02,05,胡汉之间
H_古1_魏晋_02_03,node,[CHAIN_魏晋_02] 均田制：经济制度的创新,"北魏均田制：国家按人口授田，租调制随之建立；兼顾国家收入与农民生产

【★★★★★考点】",CHAIN_魏晋_02,05,胡汉之间
H_古1_魏晋_02_04,node,[CHAIN_魏晋_02] 门阀士族与九品中正制,"曹魏九品中正制造成上品无寒门，下品无士族的门阀格局

【★★★★考点】",CHAIN_魏晋_02,05,胡汉之间
H_古1_魏晋_02_05,node,[CHAIN_魏晋_02] 民族融合的历史意义,"魏晋南北朝民族融合为隋唐统一和开放包容的文化格局奠定基础

【★★★考点】",CHAIN_魏晋_02,05,胡汉之间
S_古1_魏晋_02_01,strategy_cause,"[CHAIN_魏晋_02] 北魏汉化：从民族融合到制度转型
为什么这件事会发生？",【请补充原因分析】,CHAIN_魏晋_02,05,胡汉之间
S_古1_魏晋_02_02,strategy_impact,"[CHAIN_魏晋_02] 北魏汉化：从民族融合到制度转型
这件事产生了什么后果？",【请补充影响分析】,CHAIN_魏晋_02,05,胡汉之间
S_古1_魏晋_02_03,strategy_turning,"[CHAIN_魏晋_02] 北魏汉化：从民族融合到制度转型
变革的关键转折点是什么？",【请补充变革关键节点】,CHAIN_魏晋_02,05,胡汉之间
L_古1_魏晋_02,chain,【链卡】CHAIN_魏晋_02 北魏汉化：从民族融合到制度转型,"类型：变革类

关键节点：
• 北魏统一北方：孝文帝改革的背景
• 孝文帝汉化改革：494年迁都洛阳
• 均田制：经济制度的创新
• 门阀士族与九品中正制
• 民族融合的历史意义

",CHAIN_魏晋_02,05,胡汉之间
H_古1_唐_01_01,node,[CHAIN_唐_01] 玄武门之变与太宗继位,"626年李世民发动玄武门之变，杀兄逼父即位；这成为中国历史上皇位继承的负面先例

【★★★考点】",CHAIN_唐_01,06,盛唐拐点
H_古1_唐_01_02,node,[CHAIN_唐_01] 贞观之治的核心政策：兼听纳谏,"太宗以魏征为镜，轻徭薄赋，与民休息；政治清明，社会稳定

【★★★★★考点】",CHAIN_唐_01,06,盛唐拐点
H_古1_唐_01_03,node,[CHAIN_唐_01] 三省六部制的完善,"中书（起草）→门下（审议）→尚书（执行），三省相互制约，防止权臣专权

【★★★★考点】",CHAIN_唐_01,06,盛唐拐点
H_古1_唐_01_04,node,[CHAIN_唐_01] 科举制的扩大与影响,"太宗扩大科举取士，为寒门子弟提供上升通道，打破门阀垄断

【★★★★★考点】",CHAIN_唐_01,06,盛唐拐点
H_古1_唐_01_05,node,[CHAIN_唐_01] 贞观之治的历史评价,"贞观年间人口增长、经济恢复、文化繁荣，成为后世帝王治国的标杆

【★★★考点】",CHAIN_唐_01,06,盛唐拐点
S_古1_唐_01_01,strategy_cause,"[CHAIN_唐_01] 贞观之治：制度设计与政治智慧
为什么这件事会发生？",【请补充原因分析】,CHAIN_唐_01,06,盛唐拐点
L_古1_唐_01,chain,【链卡】CHAIN_唐_01 贞观之治：制度设计与政治智慧,"类型：制度类

关键节点：
• 玄武门之变与太宗继位
• 贞观之治的核心政策：兼听纳谏
• 三省六部制的完善
• 科举制的扩大与影响
• 贞观之治的历史评价

",CHAIN_唐_01,06,盛唐拐点
H_古1_唐_02_01,node,[CHAIN_唐_02] 安史之乱爆发的多重原因,"节度使权力膨胀（安禄山身兼三镇）＋玄宗晚年怠政＋杨贵妃外戚势力坐大

【★★★★★考点】",CHAIN_唐_02,06,盛唐拐点
H_古1_唐_02_02,node,[CHAIN_唐_02] 安史之乱的过程：755-763,"755年安禄山范阳起兵，攻陷洛阳长安，玄宗逃亡；763年终被平定，唐由盛转衰

【★★★★考点】",CHAIN_唐_02,06,盛唐拐点
H_古1_唐_02_03,node,[CHAIN_唐_02] 藩镇割据：中央权威的瓦解,"安史之乱后，河北三镇（魏博/成德/卢龙）割据，赋税不上缴中央，唐朝名存实亡

【★★★★★考点】",CHAIN_唐_02,06,盛唐拐点
H_古1_唐_02_04,node,[CHAIN_唐_02] 科举制与阶层流动,"科举打破门阀，使朝为田舍郎暮登天子堂成为可能，儒家意识形态通过考试渗透全社会

【★★★★★考点】",CHAIN_唐_02,06,盛唐拐点
H_古1_唐_02_05,node,[CHAIN_唐_02] 唐朝衰亡的多重原因,"藩镇割据＋宦官专权＋朋党之争＋农民起义（黄巢）→907年朱温灭唐

【★★★★考点】",CHAIN_唐_02,06,盛唐拐点
S_古1_唐_02_01,strategy_cause,"[CHAIN_唐_02] 安史之乱：唐朝由盛转衰的历史转折
为什么这件事会发生？",【请补充原因分析】,CHAIN_唐_02,06,盛唐拐点
S_古1_唐_02_02,strategy_impact,"[CHAIN_唐_02] 安史之乱：唐朝由盛转衰的历史转折
这件事产生了什么后果？",【请补充影响分析】,CHAIN_唐_02,06,盛唐拐点
S_古1_唐_02_03,strategy_turning,"[CHAIN_唐_02] 安史之乱：唐朝由盛转衰的历史转折
变革的关键转折点是什么？",【请补充变革关键节点】,CHAIN_唐_02,06,盛唐拐点
L_古1_唐_02,chain,【链卡】CHAIN_唐_02 安史之乱：唐朝由盛转衰的历史转折,"类型：变革类

关键节点：
• 安史之乱爆发的多重原因
• 安史之乱的过程：755-763
• 藩镇割据：中央权威的瓦解
• 科举制与阶层流动
• 唐朝衰亡的多重原因

",CHAIN_唐_02,06,盛唐拐点
