front,back,tags,card_type,card_id,chain_id
洋务运动的指导思想？,"「中体西用」——以中国伦常名教为原本，辅以西方富强之术；代表人物：冯桂芬

【所属链】：洋务运动链（CHAIN_近代探索_01）
【记忆定位】：洋务运动的指导思想 → 「中体西用」——以中国伦常名教为原本，辅以西方富强之术

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#洋务运动 #概念卡,node,H_近代_01_101,CHAIN_近代探索_01
洋务运动发起的标志？,"1861年，辛酉政变后，奕訢主持总理各国事务衙门

【所属链】：洋务运动链（CHAIN_近代探索_01）
【记忆定位】：洋务运动发起的标志 → 1861年，辛酉政变后，奕訢主持总理各国事务衙门

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#洋务运动 #概念卡,node,H_近代_01_102,CHAIN_近代探索_01
洋务派创办的主要军事工业企业？,"江南制造总局（上海）、福州船政局、轮船招商局、开平煤矿

【所属链】：洋务运动链（CHAIN_近代探索_01）
【记忆定位】：洋务派创办的主要军事工业企业 → 江南制造总局（上海）、福州船政局、轮船招商局、开平煤矿

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#洋务运动 #概念卡,node,H_近代_01_103,CHAIN_近代探索_01
洋务运动失败的标志？,"甲午战争北洋水师覆没（1895年）

【所属链】：洋务运动链（CHAIN_近代探索_01）
【记忆定位】：洋务运动失败的标志 → 甲午战争北洋水师覆没（1895年）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#洋务运动 #概念卡,node,H_近代_01_104,CHAIN_近代探索_01
洋务运动失败的根本原因？,"「中体西用」只改技术不改制度；封建体制的束缚；列强技术垄断

【所属链】：洋务运动链（CHAIN_近代探索_01）
【记忆定位】：洋务运动失败的根本原因 → 「中体西用」只改技术不改制度

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#洋务运动 #原因卡,node,H_近代_01_105,CHAIN_近代探索_01
「中外大分流」指什么？,"17-19世纪，东西方走上不同发展道路——西方君主立宪+工业革命，中国君主专制+内卷化

【所属链】：中外分流链（17-19世纪）（CHAIN_全球关联_01）
【记忆定位】：「中外大分流」指什么 → 17-19世纪，东西方走上不同发展道路——西方君主立宪+工业革命，中国君主专制+内卷化

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中外分流 #概念卡,node,H_近代_01_101,CHAIN_全球关联_01
英国君主立宪确立的标志？,"1688年光荣革命，1689年《权利法案》

【所属链】：中外分流链（17-19世纪）（CHAIN_全球关联_01）
【记忆定位】：英国君主立宪确立的标志 → 1688年光荣革命，1689年《权利法案》

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中外分流 #概念卡,node,H_近代_01_102,CHAIN_全球关联_01
工业革命在英国发生的制度条件？,"君主立宪制保护私有财产；圈地运动提供劳动力；殖民扩张提供市场

【所属链】：中外分流链（17-19世纪）（CHAIN_全球关联_01）
【记忆定位】：工业革命在英国发生的制度条件 → 君主立宪制保护私有财产

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中外分流 #条约/制度卡,node,H_近代_01_103,CHAIN_全球关联_01
甲午战争爆发的导火线？,"丰岛海战：日本不宣而战，袭击清军运兵船「高升号」（1894年7月）

【所属链】：甲午战争链（CHAIN_近代危机_03）
【记忆定位】：甲午战争爆发的导火线 → 丰岛海战：日本不宣而战，袭击清军运兵船「高升号」（1894年7月）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#甲午战争 #概念卡,node,H_近代_02_101,CHAIN_近代危机_03
黄海海战中的英雄人物？,"邓世昌，率「致远舰」撞向「吉野」，全舰官兵殉国

【所属链】：甲午战争链（CHAIN_近代危机_03）
【记忆定位】：黄海海战中的英雄人物 → 邓世昌，率「致远舰」撞向「吉野」，全舰官兵殉国

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#甲午战争 #人物卡,node,H_近代_02_202,CHAIN_近代危机_03
《马关条约》的重大危害？,"割让台湾+辽东半岛（后赎辽）、赔款白银2亿两、开放四口通商、允许设厂（资本输出）

【所属链】：甲午战争链（CHAIN_近代危机_03）
【记忆定位】：《马关条约》的重大危害 → 割让台湾+辽东半岛（后赎辽）、赔款白银2亿两、开放四口通商、允许设厂（资本输出）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#甲午战争 #条约/制度卡,node,H_近代_02_203,CHAIN_近代危机_03
三国干涉还辽？,"俄、德、法三国迫使日本退还辽东半岛，清廷付「赎辽费」3000万两；引发瓜分狂潮

【所属链】：甲午战争链（CHAIN_近代危机_03）
【记忆定位】：三国干涉还辽 → 俄、德、法三国迫使日本退还辽东半岛，清廷付「赎辽费」3000万两

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#甲午战争 #概念卡,node,H_近代_02_204,CHAIN_近代危机_03
甲午战争的历史意义（为何重要）？,"证明洋务运动「中体西用」失败；民族危机顶点；刺激维新变法思潮兴起

【所属链】：甲午战争链（CHAIN_近代危机_03）
【记忆定位】：甲午战争的历史意义（为何重要） → 证明洋务运动「中体西用」失败

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#甲午战争 #影响卡,node,H_近代_02_205,CHAIN_近代危机_03
戊戌变法的主导者？,"康有为（精神领袖）、梁启超（宣传主力）、光绪帝（权力支持者）

【所属链】：戊戌变法链（CHAIN_近代探索_02）
【记忆定位】：戊戌变法的主导者 → 康有为（精神领袖）、梁启超（宣传主力）、光绪帝（权力支持者）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#戊戌变法 #条约/制度卡,node,H_近代_02_201,CHAIN_近代探索_02
百日维新的时间？,"1898年6月11日（光绪颁布《明定国是诏》）至9月21日（戊戌政变），共103天

【所属链】：戊戌变法链（CHAIN_近代探索_02）
【记忆定位】：百日维新的时间 → 1898年6月11日（光绪颁布《明定国是诏》）至9月21日（戊戌政变），共103天

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#戊戌变法 #时序卡,node,H_近代_02_202,CHAIN_近代探索_02
戊戌六君子？,"谭嗣同、杨锐、刘光第、林旭、杨深秀、康广仁

【所属链】：戊戌变法链（CHAIN_近代探索_02）
【记忆定位】：戊戌六君子 → 谭嗣同、杨锐、刘光第、林旭、杨深秀、康广仁

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#戊戌变法 #概念卡,node,H_近代_02_203,CHAIN_近代探索_02
戊戌变法失败的根本原因？,"触犯守旧势力核心利益；寄希望于无实权的皇帝；缺乏群众基础；慈禧太后发动政变

【所属链】：戊戌变法链（CHAIN_近代探索_02）
【记忆定位】：戊戌变法失败的根本原因 → 触犯守旧势力核心利益

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#戊戌变法 #条约/制度卡,node,H_近代_02_204,CHAIN_近代探索_02
谭嗣同的名言？,"「有心杀贼，无力回天，死得其所，快哉快哉！」

【所属链】：戊戌变法链（CHAIN_近代探索_02）
【记忆定位】：谭嗣同的名言 → 「有心杀贼，无力回天，死得其所，快哉快哉！」

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#戊戌变法 #概念卡,node,H_近代_02_205,CHAIN_近代探索_02
中国同盟会成立时间与地点？,"1905年，东京；孙中山为总理，黄兴为执行部庶务

【所属链】：辛亥革命链（CHAIN_近代探索_03）
【记忆定位】：中国同盟会成立时间与地点 → 1905年，东京

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#辛亥革命 #时序卡,node,H_近代_02_201,CHAIN_近代探索_03
三民主义的内容？,"民族（驱除鞑虏）、民权（创立民国）、民生（平均地权）

【所属链】：辛亥革命链（CHAIN_近代探索_03）
【记忆定位】：三民主义的内容 → 民族（驱除鞑虏）、民权（创立民国）、民生（平均地权）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#辛亥革命 #内容卡,node,H_近代_02_302,CHAIN_近代探索_03
武昌起义的时间与意义？,"1911年10月10日；辛亥革命爆发的标志，亚洲第一个共和国诞生

【所属链】：辛亥革命链（CHAIN_近代探索_03）
【记忆定位】：武昌起义的时间与意义 → 1911年10月10日

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#辛亥革命 #时序卡,node,H_近代_02_303,CHAIN_近代探索_03
《中华民国临时约法》？,"1912年3月，孙中山颁布的中国第一部资产阶级共和国宪法性文件

【所属链】：辛亥革命链（CHAIN_近代探索_03）
【记忆定位】：《中华民国临时约法》 → 1912年3月，孙中山颁布的中国第一部资产阶级共和国宪法性文件

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#辛亥革命 #条约/制度卡,node,H_近代_02_304,CHAIN_近代探索_03
辛亥革命的历史意义？,"推翻两千年帝制；建立亚洲第一个共和国；传播民主共和理念；深刻改变中国政治观念

【所属链】：辛亥革命链（CHAIN_近代探索_03）
【记忆定位】：辛亥革命的历史意义 → 推翻两千年帝制

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#辛亥革命 #影响卡,node,H_近代_02_305,CHAIN_近代探索_03
辛亥革命的局限性？,"没有完成反帝反封建任务；革命果实被袁世凯篡夺；没有解决农民土地问题；没有发动群众

【所属链】：辛亥革命链（CHAIN_近代探索_03）
【记忆定位】：辛亥革命的局限性 → 没有完成反帝反封建任务

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#辛亥革命 #概念卡,node,H_近代_02_306,CHAIN_近代探索_03
新文化运动的两面大旗？,"民主（Democracy）与科学（Science）；代表刊物：《新青年》（陈独秀主编）

【所属链】：近代思想启蒙链（CHAIN_近代探索_04）
【记忆定位】：新文化运动的两面大旗 → 民主（Democracy）与科学（Science）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#近代思想 #概念卡,node,H_近代_02_301,CHAIN_近代探索_04
新文化运动的主要内容？,"提倡民主与科学；反对专制与迷信；批判旧道德（孔教）；提倡新文学（白话文）

【所属链】：近代思想启蒙链（CHAIN_近代探索_04）
【记忆定位】：新文化运动的主要内容 → 提倡民主与科学

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#近代思想 #内容卡,node,H_近代_02_302,CHAIN_近代探索_04
马克思主义在中国传播的标志？,"1919年五四运动后，李大钊、陈独秀等开始系统传播马克思主义；1921年中共成立

【所属链】：近代思想启蒙链（CHAIN_近代探索_04）
【记忆定位】：马克思主义在中国传播的标志 → 1919年五四运动后，李大钊、陈独秀等开始系统传播马克思主义

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#近代思想 #概念卡,node,H_近代_02_303,CHAIN_近代探索_04
近代思想三层递进？,"器物层（洋务运动）→ 制度层（维新/革命）→ 文化层（新文化运动）→ 马克思主义

【所属链】：近代思想启蒙链（CHAIN_近代探索_04）
【记忆定位】：近代思想三层递进 → 器物层（洋务运动）→ 制度层（维新/革命）→ 文化层（新文化运动）→ 马克思主义

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#近代思想 #概念卡,node,H_近代_02_304,CHAIN_近代探索_04
北洋军阀的三大派系？,"皖系（段祺瑞）、直系（冯国璋/曹锟/吴佩孚）、奉系（张作霖）

【所属链】：民国乱局链（CHAIN_近代探索_05）
【记忆定位】：北洋军阀的三大派系 → 皖系（段祺瑞）、直系（冯国璋/曹锟/吴佩孚）、奉系（张作霖）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#民国乱局 #概念卡,node,H_近代_03_301,CHAIN_近代探索_05
袁世凯称帝？,"1916年；护国战争（蔡锷在云南起兵讨袁）迫使袁世凯取消帝制，同年病死

【所属链】：民国乱局链（CHAIN_近代探索_05）
【记忆定位】：袁世凯称帝 → 1916年

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#民国乱局 #概念卡,node,H_近代_03_402,CHAIN_近代探索_05
《二十一条》？,"1915年日本向袁世凯提出的旨在独占中国的秘密条约；袁世凯接受（除第五条）；激起全国反日怒潮

【所属链】：民国乱局链（CHAIN_近代探索_05）
【记忆定位】：《二十一条》 → 1915年日本向袁世凯提出的旨在独占中国的秘密条约

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#民国乱局 #概念卡,node,H_近代_03_403,CHAIN_近代探索_05
旧民主主义革命的困境？,"资产阶级革命派（孙中山）无力完成反帝反封建任务；帝国主义与封建军阀联合压迫；每次护法运动均因军阀背叛而失败

【所属链】：民国乱局链（CHAIN_近代探索_05）
【记忆定位】：旧民主主义革命的困境 → 资产阶级革命派（孙中山）无力完成反帝反封建任务

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#民国乱局 #概念卡,node,H_近代_03_404,CHAIN_近代探索_05
新文化运动的两面大旗？,"民主（Democracy）与科学（Science）；陈独秀提出

【所属链】：新文化运动链（CHAIN_近代探索_06）
【记忆定位】：新文化运动的两面大旗 → 民主（Democracy）与科学（Science）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#新文化运 #概念卡,node,H_近代_03_401,CHAIN_近代探索_06
《新青年》创办人？,"陈独秀；1915年创办，原名《青年杂志》，1916年改名《新青年》

【所属链】：新文化运动链（CHAIN_近代探索_06）
【记忆定位】：《新青年》创办人 → 陈独秀

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#新文化运 #概念卡,node,H_近代_03_402,CHAIN_近代探索_06
蔡元培改造北大？,"1916年任北大校长；提出「思想自由，兼容并包」方针

【所属链】：新文化运动链（CHAIN_近代探索_06）
【记忆定位】：蔡元培改造北大 → 1916年任北大校长

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#新文化运 #概念卡,node,H_近代_03_403,CHAIN_近代探索_06
中国第一篇白话小说？,"鲁迅《狂人日记》（1918年）；揭露封建礼教「吃人」的本质

【所属链】：新文化运动链（CHAIN_近代探索_06）
【记忆定位】：中国第一篇白话小说 → 鲁迅《狂人日记》（1918年）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#新文化运 #概念卡,node,H_近代_03_404,CHAIN_近代探索_06
李大钊传播马克思主义？,"1918年发表《法俄革命之比较观》《庶民的胜利》《布尔什维主义的胜利》

【所属链】：新文化运动链（CHAIN_近代探索_06）
【记忆定位】：李大钊传播马克思主义 → 1918年发表《法俄革命之比较观》《庶民的胜利》《布尔什维主义的胜利》

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#新文化运 #概念卡,node,H_近代_03_405,CHAIN_近代探索_06
五四运动的直接导火线？,"巴黎和会上中国外交失败：英美法决定将德国在山东权益转让给日本

【所属链】：五四运动链（CHAIN_近代探索_07）
【记忆定位】：五四运动的直接导火线 → 巴黎和会上中国外交失败：英美法决定将德国在山东权益转让给日本

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#五四运动 #概念卡,node,H_近代_03_401,CHAIN_近代探索_07
五四运动的两大口号？,"「外争主权，内除国贼」「拒绝在和约上签字」「还我青岛」

【所属链】：五四运动链（CHAIN_近代探索_07）
【记忆定位】：五四运动的两大口号 → 「外争主权，内除国贼」「拒绝在和约上签字」「还我青岛」

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#五四运动 #概念卡,node,H_近代_03_402,CHAIN_近代探索_07
五四运动第一阶段的主力？,"北京学生（5月4日天安门示威）

【所属链】：五四运动链（CHAIN_近代探索_07）
【记忆定位】：五四运动第一阶段的主力 → 北京学生（5月4日天安门示威）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#五四运动 #概念卡,node,H_近代_03_503,CHAIN_近代探索_07
五四运动第二阶段的主力？,"工人阶级（上海工人6月5日大罢工）；标志着工人阶级作为独立政治力量登上历史舞台

【所属链】：五四运动链（CHAIN_近代探索_07）
【记忆定位】：五四运动第二阶段的主力 → 工人阶级（上海工人6月5日大罢工）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#五四运动 #概念卡,node,H_近代_03_504,CHAIN_近代探索_07
五四运动的历史意义？,"新民主主义革命的开端；彻底的反帝反封建运动；促进了马克思主义广泛传播

【所属链】：五四运动链（CHAIN_近代探索_07）
【记忆定位】：五四运动的历史意义 → 新民主主义革命的开端

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#五四运动 #影响卡,node,H_近代_03_505,CHAIN_近代探索_07
五四精神？,"爱国、进步、民主、科学——核心是爱国主义

【所属链】：五四运动链（CHAIN_近代探索_07）
【记忆定位】：五四精神 → 爱国、进步、民主、科学——核心是爱国主义

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#五四运动 #概念卡,node,H_近代_03_506,CHAIN_近代探索_07
中国共产党成立时间？,"1921年7月23日（一大）；7月1日被定为建党纪念日（延安时期确定）

【所属链】：中国共产党建党建国链（CHAIN_近代探索_08）
【记忆定位】：中国共产党成立时间 → 1921年7月23日（一大）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中国共产 #时序卡,node,H_近代_03_501,CHAIN_近代探索_08
中共一大代表人数？,"13人，代表全国50余名党员；毛泽东、董必武等

【所属链】：中国共产党建党建国链（CHAIN_近代探索_08）
【记忆定位】：中共一大代表人数 → 13人，代表全国50余名党员

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中国共产 #人物卡,node,H_近代_03_502,CHAIN_近代探索_08
「农村包围城市」道路？,"毛泽东提出；在井冈山建立第一块农村革命根据地；是符合中国国情的正确革命道路

【所属链】：中国共产党建党建国链（CHAIN_近代探索_08）
【记忆定位】：「农村包围城市」道路 → 毛泽东提出

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中国共产 #概念卡,node,H_近代_03_503,CHAIN_近代探索_08
遵义会议？,"1935年1月；结束了「左」倾教条主义在中央的统治；确立了毛泽东在党中央和红军的领导地位；是生死攸关的转折点

【所属链】：中国共产党建党建国链（CHAIN_近代探索_08）
【记忆定位】：遵义会议 → 1935年1月

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中国共产 #概念卡,node,H_近代_03_504,CHAIN_近代探索_08
新中国成立的意义？,"标志着中国新民主主义革命取得胜利；中国结束了一百多年被侵略被奴役的历史；中国人民从此站起来了

【所属链】：中国共产党建党建国链（CHAIN_近代探索_08）
【记忆定位】：新中国成立的意义 → 标志着中国新民主主义革命取得胜利

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中国共产 #影响卡,node,H_近代_03_505,CHAIN_近代探索_08
新中国成立的历史必然性？,"近代中国各阶级救亡图存的探索均告失败；中共领导的新民主主义革命代表了历史发展的正确方向；人民选择了中共、中共不辜负人民的选择

【所属链】：中国共产党建党建国链（CHAIN_近代探索_08）
【记忆定位】：新中国成立的历史必然性 → 近代中国各阶级救亡图存的探索均告失败

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#中国共产 #概念卡,node,H_近代_03_506,CHAIN_近代探索_08
九一八事变？,"1931年9月18日；日本关东军炸毁柳条湖路段嫁祸中国军队，占领沈阳；东北三省沦陷

【所属链】：抗日战争链（CHAIN_近代危机_04）
【记忆定位】：九一八事变 → 1931年9月18日

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#抗日战争 #概念卡,node,H_现代_01_601,CHAIN_近代危机_04
七七事变（卢沟桥事变）？,"1937年7月7日；日本全面侵华的标志；中国全民族抗战起点

【所属链】：抗日战争链（CHAIN_近代危机_04）
【记忆定位】：七七事变（卢沟桥事变） → 1937年7月7日

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#抗日战争 #概念卡,node,H_现代_01_602,CHAIN_近代危机_04
